Name,Wins,Losses,Draws,Height,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Kazuhiro Nakamura,21,13,0,71.0,"70""",1.56,37%,1.83,59%,1.73,36%,42%,0.6
Jacob Noe,3,11,0 (1 NC),,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tom Niinimaki,22,8,1,69.0,"69""",1.91,54%,2.31,58%,2.97,46%,33%,0.5
Alex Nicholson,7,4,0,76.0,"77""",4.12,43%,4.65,47%,0.00,0%,50%,0.5
Bo Nickal,7,1,0,73.0,"76""",2.36,59%,2.11,58%,3.34,53%,100%,2.9
Derrick Noble,27,15,1,69.0,--,6.21,40%,3.79,59%,0.00,0%,0%,0.0
Fabio Nascimento,11,6,0,70.0,--,2.94,38%,4.63,55%,0.00,0%,55%,0.8
Rodrigo Nascimento,11,3,0 (1 NC),74.0,"80""",3.71,47%,4.34,44%,1.02,37%,60%,0.5
Scott Norton,7,1,0,70.0,--,0.67,30%,0.34,60%,2.52,25%,0%,0.0
Muhammad Naimov,13,3,0,69.0,"70""",2.61,40%,3.45,45%,1.69,36%,67%,0.2
Andrews Nakahara,5,4,2,73.0,--,2.68,44%,1.90,57%,0.00,0%,72%,0.4
Eduardo Neves,7,2,0,74.0,"78""",7.69,65%,6.15,55%,5.77,66%,0%,0.0
Akiyo Nishiura,13,8,1,68.0,--,1.59,57%,1.26,57%,0.00,0%,52%,0.3
Matheus Nicolau,19,6,1,66.0,"66""",3.31,51%,2.98,65%,1.22,43%,90%,0.8
Tokitaka Nakanishi,12,4,0,66.0,"66""",1.10,44%,1.57,45%,3.00,37%,0%,0.0
Yosuke Nishijima,0,5,0,69.0,--,1.72,37%,5.59,56%,0.00,0%,0%,0.0
Bobby Nash,8,4,0,72.0,"74""",3.42,37%,3.95,51%,2.37,33%,100%,1.6
Said Nurmagomedov,18,4,0,68.0,"70""",3.38,47%,2.25,56%,1.01,15%,62%,1.2
Umar Nurmagomedov,18,1,0,68.0,"69""",4.38,57%,2.15,60%,3.26,39%,78%,0.3
Mike Nickels,9,5,0,76.0,--,4.44,52%,1.11,64%,11.11,80%,0%,2.8
Yamato Nishikawa,21,3,6,67.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Phillipe Nover,11,8,1,69.0,"72""",1.79,35%,2.48,56%,0.99,28%,44%,0.7
Allan Nascimento,21,6,0,68.0,"69""",2.64,60%,1.96,50%,1.42,24%,30%,0.9
Chidi Njokuani,25,11,0 (1 NC),75.0,"80""",4.72,62%,2.64,57%,0.00,0%,73%,0.2
Reza Nasri,0,1,0,71.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jason Novelli,11,3,1,72.0,--,1.73,24%,3.55,66%,0.70,33%,100%,0.0
Kyle Noke,22,10,1,73.0,"76""",3.23,50%,2.09,64%,1.53,54%,66%,0.8
Kevin Natividad,9,4,0,66.0,"70""",2.68,34%,4.29,47%,3.66,50%,83%,0.0
Julio Cesar Neves Jr.,33,1,0,68.0,--,1.98,35%,4.81,51%,1.06,25%,76%,0.0
Journey Newson,10,5,0 (1 NC),65.0,"67""",2.64,32%,2.57,64%,0.56,16%,43%,0.3
Yura Naito,6,1,0,72.0,"74""",1.22,44%,5.33,28%,1.67,9%,0%,0.0
Stewart Nicoll,8,1,0,65.0,"65""",3.02,47%,1.13,40%,5.66,100%,0%,0.0
Amanda Nunes,23,5,0,68.0,"69""",4.55,51%,2.62,57%,2.73,54%,82%,0.7
Fedor Nikolov,0,0,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nad Narimani,12,4,0,68.0,"70""",3.33,42%,3.00,58%,1.92,41%,70%,0.0
Istela Nunes,6,6,0 (1 NC),64.0,"66""",4.28,47%,4.07,59%,0.00,0%,47%,0.0
Tom Nolan,9,1,0,75.0,"73""",5.82,45%,4.85,46%,0.41,12%,66%,1.6
Pedro Nobre,18,4,2 (1 NC),65.0,--,1.37,30%,9.16,35%,0.00,0%,0%,0.0
Marcio Navarro,14,14,0,72.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Carlos Newton,16,14,0,69.0,--,0.65,41%,1.55,44%,2.47,70%,43%,0.9
Roger Narvaez,8,3,0,75.0,--,2.12,37%,3.32,64%,0.00,0%,50%,0.9
Kyle Noblitt,11,2,0,74.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Yui Chul Nam,18,8,1,69.0,--,3.53,51%,2.00,48%,1.33,16%,57%,0.3
Steve Nelmark,2,1,0,72.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nick Nolte,5,4,0,72.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nicolae Negumereanu,13,2,0,72.0,"78""",3.58,41%,5.56,39%,1.02,28%,62%,0.0
Talita Nogueira,6,0,0,70.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nick Newell,14,2,0,70.0,--,3.53,46%,4.07,36%,0.00,0%,33%,0.0
Khabib Nurmagomedov,29,0,0,70.0,"70""",4.10,48%,1.75,65%,5.32,48%,84%,0.8
Khomkrit Niimi,6,10,0,62.0,--,0.00,0%,5.73,44%,0.00,0%,0%,0.0
Nina Nunes,11,7,0,65.0,"64""",4.39,45%,3.47,55%,0.24,33%,73%,0.5
Kennedy Nzechukwu,14,6,0,77.0,"83""",5.33,46%,4.89,51%,0.55,45%,80%,0.2
Stanislav Nedkov,12,2,0 (1 NC),71.0,"71""",3.33,43%,5.39,43%,2.77,41%,0%,0.0
Jonatas Novaes,13,5,0,71.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Katsuhiko Nagata,6,7,3,67.0,--,1.05,19%,1.50,63%,0.98,28%,28%,0.0
Francis Ngannou,17,3,0,76.0,"83""",2.33,41%,2.16,41%,0.76,62%,71%,0.3
Alexandre Franca Nogueira,18,6,3,67.0,--,0.60,20%,4.18,57%,0.00,0%,0%,0.0
Hans Nijman,9,7,0,72.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adilet Nurmatov,13,2,0,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Diyar Nurgozhay,10,1,0,74.0,"74""",3.13,48%,3.40,59%,2.00,100%,100%,0.0
Kyle Nelson,16,6,1,71.0,"71""",3.51,45%,4.72,51%,1.06,20%,73%,0.6
Josh Neer,36,16,1,71.0,"72""",3.29,46%,3.63,58%,1.09,34%,46%,1.3
Keita Nakamura,34,10,2 (1 NC),71.0,"73""",2.23,36%,3.20,58%,1.65,48%,63%,0.3
Josh Neal,5,11,0,72.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rose Namajunas,15,7,0,65.0,"65""",3.60,41%,3.38,63%,1.49,50%,62%,0.4
Yoshihiro Nakao,9,3,0 (2 NC),72.0,--,1.73,35%,2.06,64%,2.69,46%,0%,0.5
Jeff Newton,4,2,0,74.0,--,0.28,20%,1.41,52%,0.00,0%,0%,8.5
Diego Nunes,19,7,0,66.0,"67""",2.72,43%,2.59,58%,1.18,44%,65%,0.6
